contract,act_symbol,expiration,call_put,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,date,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,Random Forest_ML_price,XGBoost_ML_price,Linear Regression_ML_price,SVR_ML_price,BS_error,BT_error,MC_error,Random Forest_ML_error,XGBoost_ML_error,Linear Regression_ML_error,SVR_ML_error,BS_error_pct,BT_error_pct,MC_error_pct,Random Forest_ML_error_pct,XGBoost_ML_error_pct,Linear Regression_ML_error_pct,SVR_ML_error_pct
AAPL130111C00420000,AAPL,2013-01-11,call,420,A,102.6,,103.9,,6,1,10-01-2013,1.0,0.0,-1.2718,0.0,0.7151,2013-01-10,523.509979,0.0027397260273972603,103.25,0.05,103.56750931153653,103.5675093077501,103.24741580444147,76.45225686902941,103.27479,-3.691862576083267,119.39014422559616,0.31750931153652573,0.31750930775010033,-0.002584195558526403,-26.797743130970588,0.02478790283203125,-106.94186257608327,16.14014422559616,0.30751507170607817,0.3075150680388381,-0.0025028528411878,-25.9542306353226,0.024007654074606536,-103.57565382671503,15.632100944887323
AAPL130111P00420000,AAPL,2013-01-11,put,420,A,0.0,,0.01,,1,1313,10-01-2013,0.0,0.0,0.0,0.0,0.7933,2013-01-10,523.509979,0.0027397260273972603,0.005,0.05,1.8999089954236875e-07,9.126161062920151e-08,0.0,9.06874525101222,0.027369231,102.0513662346688,119.39014422559616,-0.004999810009100458,-0.004999908738389371,-0.005,9.06374525101222,0.02236923098564148,102.04636623466881,119.38514422559616,-99.99620018200915,-99.99817476778743,-100.0,181274.9050202444,447.3846197128296,2040927.324693376,2387702.8845119234
AAPL130111C00425000,AAPL,2013-01-11,call,425,A,97.5,,99.6,,0,0,10-01-2013,1.0,0.0,-1.2869,0.0,0.7151,2013-01-10,523.509979,0.0027397260273972603,98.55,0.05,98.56819422804699,98.56819420486693,98.68151269983977,66.52460987024291,99.06648,-2.5975549807348557,119.39014422559616,0.018194228046994,0.01819420486692991,0.13151269983977443,-32.025390129757085,0.5164825439453153,-101.14755498073485,20.840144225596163,0.018461925973611362,0.018461902452491026,0.13344769136456056,-32.49659069483215,0.5240817290160481,-102.6357736993758,21.146772425769825
AAPL130111P00425000,AAPL,2013-01-11,put,425,A,0.0,,0.01,,0,95,10-01-2013,0.0,0.0,0.0,0.0,0.7933,2013-01-10,523.509979,0.0027397260273972603,0.005,0.05,9.212157060169726e-07,4.60333901393768e-07,0.0,10.851496322838173,-0.14561388,103.14567383001722,119.39014422559616,-0.004999078784293983,-0.004999539666098607,-0.005,10.846496322838172,-0.1506138789653778,103.14067383001722,119.38514422559616,-99.98157568587965,-99.99079332197213,-100.0,216929.92645676344,-3012.277579307556,2062813.4766003445,2387702.8845119234
AAPL130111C00430000,AAPL,2013-01-11,call,430,A,92.65,,93.9,,0,2,10-01-2013,1.0,0.0,-1.302,0.0,0.7151,2013-01-10,523.509979,0.0027397260273972603,93.275,0.05,93.56887930245051,93.56887918157678,93.85009728549517,60.76743297606835,93.95244,-1.5032473853864445,119.39014422559616,0.293879302450506,0.29387918157677007,0.5750972854951613,-32.50756702393166,0.6774383544921818,-94.77824738538645,26.115144225596154,0.3150675984459994,0.31506746885743236,0.6165610136640699,-34.85131817092646,0.7262807338431324,-101.61162946704523,27.99801042679834
AAPL130111C00420000,AAPL,2013-01-11,call,420,A,99.1,,100.95,,1,3,11-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-11,520.300026,0.0,100.025,0.05,100.30004699999944,100.30004700000127,100.30002098500876,74.45796185340053,99.512886,-0.32254140882131566,119.39014422559616,0.2750469999994323,0.2750470000012655,0.2750209850087515,-25.567038146599472,-0.5121139526367244,-100.34754140882131,19.365144225596154,0.27497825543557336,0.2749782554374061,0.2749522469470147,-25.560647984603317,-0.5119859561476875,-100.32246079362291,19.360304149558765
AAPL130111P00420000,AAPL,2013-01-11,put,420,A,0.0,,0.01,,80,1312,11-01-2013,0.0,0.0,0.0,0.0,0.3,2013-01-11,520.300026,0.0,0.005,0.05,0.0,0.0,0.0,10.197010961097076,0.41059574,106.0350586174091,119.39014422559616,-0.005,-0.005,-0.005,10.192010961097075,0.40559574484825134,106.03005861740911,119.38514422559616,-100.0,-100.0,-100.0,203840.21922194152,8111.914896965027,2120601.172348182,2387702.8845119234
AAPL130111C00425000,AAPL,2013-01-11,call,425,A,94.1,,95.95,,0,0,11-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-11,520.300026,0.0,95.025,0.05,95.30004724999947,95.30004725000133,95.30002123500864,64.90628205842536,91.74396,0.7717661865271026,119.39014422559616,0.27504724999946006,0.2750472500013217,0.2750212350086372,-30.118717941574644,-3.2810424804687557,-94.2532338134729,24.365144225596154,0.2894472507229256,0.2894472507248847,0.28941987372653216,-31.69557268253054,-3.4528202898908242,-99.18782826990045,25.6407726657155
AAPL130111P00425000,AAPL,2013-01-11,put,425,A,0.0,,0.01,,0,95,11-01-2013,0.0,0.0,0.0,0.0,0.3,2013-01-11,520.300026,0.0,0.005,0.05,0.0,0.0,0.0,11.970637907031078,-0.19392315,107.12936621275752,119.39014422559616,-0.005,-0.005,-0.005,11.965637907031077,-0.19892314553260804,107.12436621275752,119.38514422559616,-100.0,-100.0,-100.0,239312.75814062156,-3978.4629106521606,2142487.3242551503,2387702.8845119234
AAPL130111C00430000,AAPL,2013-01-11,call,430,A,89.1,,90.95,,2,2,11-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-11,520.300026,0.0,90.025,0.05,90.30004749999944,90.30004750000127,90.30002148500854,59.08305614607393,88.64578,1.8660737818754995,119.39014422559616,0.275047499999431,0.2750475000012642,0.27502148500853707,-30.941943853926077,-1.3792175292968807,-88.1589262181245,29.365144225596154,0.3055234657033391,0.30552346570537536,0.3054945681849898,-34.370390284838734,-1.532038355231192,-97.92716047556179,32.61887722920983
